id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100499032,"Sayyid, Maḥmūd Aḥmad",male,1939-01-01,11,,,,
Q118725,Hafez al-Assad,male,1930-10-06,11,2000-06-10,11,Hafez al Assad portrait.jpg,Hafez al-Assad
Q12180950,Anisa Makhlouf,female,1930,9,2016-02-06,11,Anisa Makhlouf.jpg,Anisa Makhlouf
Q12214743,Zuhair Ramadan,male,1959-06-21,11,2021-11-17,11,Zuhair Ramadan.jpg,Zuhair Ramadan
Q1334803,Walid Muallem,male,1941-07-17,11,2020-11-16,11,Walid Muallem (cropped).jpg,Walid Muallem
Q1884964,Mahmoud Zuabi,male,1935,9,2000-05-21,11,,Mahmoud Al-Zoubi
Q231637,Asma al-Assad,female,1975-08-11,11,,,Asma al-Assad.jpg,Asma al-Assad
Q307237,Abdul Halim Khaddam,male,1932-06-21,11,2020-03-31,11,President Jimmy Carter and Abdul Halim Khaddam (cropped).jpg,Abdul Halim Khaddam
Q3430000,Riad Ismat,male,1947-07-11,11,2020-05-13,11,Riad Ismat.jpg,Riad Ismat
Q354642,Riyad Farid Hijab,male,1966,9,,,Riyad Farid Hidschab während der Münchner Sicherheitskonferenz 2016 (cropped).jpg,Riyad Farid Hijab
Q403471,Muhammad Mustafa Mero,male,1941,9,2020-12-22,11,,Muhammad Mustafa Mero
Q44329,Bashar al-Assad,male,1965-09-11,11,,,Bashar al-Assad (2018-05-17) 03.jpg,Bashar al-Assad
Q4724539,Ali Abdul Karim,male,1953,9,,,,Ali Abdul Karim
Q5431067,Faisal Mekdad,male,1954-02-05,11,,,Faisal Mekdad by Tasnimnews 03).jpg,Faisal Mekdad
Q6001983,Imad Khamis,male,1961-08-01,11,,,Imad Khamis in Iran (cropped).jpg,Imad Khamis
Q60455401,Hussein Arnous,male,1953,9,,,Hussein Arnous.jpg,Hussein Arnous
Q984486,Sabah Fakhri,male,1933-05-02,11,2021-11-02,11,Sabah fakhri cropped.jpg,Sabah Fakhri
Q98908359,Ahmed Al-Qadri,male,1956,9,2020-09-03,11,,Ahmed Al-Qadri
